collected_at,excluded_reason,match_score,match_status,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,product_key,source,title,url,usable_for_baseline
2026-06-15T08:46:26Z,,80,candidate,13840,1,ml,50.0,13840,라운드랩자작나무수분선크림50ml,danawa,라운드 랩 자작 나무 수분 선크림 50ml,https://prod.danawa.com/info/?pcode=11991947&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,16770,1,ml,50.0,16770,라운드랩자작나무수분선크림50ml,danawa,라운드 랩 자작 나무 무기자차 선크림 50ml,https://prod.danawa.com/info/?pcode=21564794&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,17210,1,ml,50.0,17210,라운드랩자작나무수분선크림50ml,danawa,라운드 랩 자작 나무 수분 톤업 선크림 50ml,https://prod.danawa.com/info/?pcode=21564875&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,"sunstick_variant,category_term_missing",50,excluded,24930,1,g,19.0,24930,라운드랩자작나무수분선크림50ml,danawa,라운드 랩 자작 나무 수분 선스틱 19g,https://prod.danawa.com/info/?pcode=107304077&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=18255343,False
2026-06-15T08:46:26Z,,80,candidate,22800,1,ml,50.0,22800,라운드랩자작나무수분선크림50ml,danawa,라운드 랩 자작 나무 수분 톤업 선크림 50ml +50ml,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9429351174&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131895902&cate=1833257,True
2026-06-15T08:46:26Z,sunstick_variant,80,excluded,76900,1,ml,50.0,76900,라운드랩자작나무수분선크림50ml,danawa,SSG 뷰티톤업 라운드 랩 자작 나무 수분 선크림 50ml 안티에이징 주름개선 탄력강화선스틱 19g 세트 자외선 차단제,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701316816&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131898583&cate=1833257,False
2026-06-15T08:46:26Z,sunstick_variant,80,excluded,49620,2,ml,50.0,99240,라운드랩자작나무수분선크림50ml,danawa,SSG 뷰티톤업 라운드 랩 자작 나무 수분톤업 선크림 50mlx2 안티에이징 주름개선 탄력강화소나무 시카선스틱 10gx2 한국,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701316465&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131896555&cate=1833257,False
2026-06-15T08:46:26Z,,80,candidate,36805,2,ml,50.0,73610,라운드랩자작나무수분선크림50ml,danawa,SSG 뷰티톤업 라운드 랩 자작 나무 무기자차 선크림 50ml x 2개,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701320351&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131892999&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,8400,1,ml,50.0,8400,조선미녀맑은쌀선크림50ml,danawa,조선 미녀 맑은 쌀 선크림 50ml,https://prod.danawa.com/info/?pcode=27548912&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,13900,1,ml,50.0,13900,조선미녀맑은쌀선크림50ml,danawa,조선 미녀 맑은 쌀 선크림 아쿠아프레쉬 50ml,https://prod.danawa.com/info/?pcode=96705854&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,49400,1,ml,50.0,49400,조선미녀맑은쌀선크림50ml,danawa,SSG 뷰티톤업 조선 미녀 맑은 쌀 선크림 50ml(SH),https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701298100&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131911744&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,40050,1,ml,50.0,40050,조선미녀맑은쌀선크림50ml,danawa,SSG 뷰티톤업 조선 미녀 맑은 쌀 선크림 50ml 1개 SPF50 안티에이징 주름개선 탄력강화 PA,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701304502&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131917591&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,30290,3,ml,50.0,90870,조선미녀맑은쌀선크림50ml,danawa,SSG 뷰티톤업 조선 미녀 맑은 쌀 선크림 아쿠아 프레쉬 50ml 3개,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701304661&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131915952&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,27835,4,ml,50.0,111340,조선미녀맑은쌀선크림50ml,danawa,조선 미녀 뷰티톤업 조선 미녀 영양친구 맑은 쌀 선크림 50ml 4개,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE309&link_prod_c=LO2701295278&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131914591&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,10005,2,ml,50.0,20010,조선미녀맑은쌀선크림50ml,danawa,조선 미녀 맑은 쌀 선크림 50ml 기획 (+10ml x 2개),https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE715&link_prod_c=F394135772&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17815131918538&cate=1833257,True
