brand,category,collected_at,error,excluded_reason,match_score,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,result_title,seed_product,seed_query,source,status,url,usable_for_baseline,volume_hint
라운드랩,선케어,20260614T072530Z,,,80,13840,1,ml,50.0,13840,라운드 랩 자작 나무 수분 선크림 50ml,자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/info/?pcode=11991947&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
라운드랩,선케어,20260614T072530Z,,,80,16770,1,ml,50.0,16770,라운드 랩 자작 나무 무기자차 선크림 50ml,자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/info/?pcode=21564794&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
라운드랩,선케어,20260614T072530Z,,,80,17210,1,ml,50.0,17210,라운드 랩 자작 나무 수분 톤업 선크림 50ml,자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/info/?pcode=21564866&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
라운드랩,선케어,20260614T072530Z,,"sunstick_variant,category_term_missing",50,24100,1,g,19.0,24100,라운드 랩 자작 나무 수분 선스틱 19g,자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/info/?pcode=107304077&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=18255343,False,50ml
라운드랩,선케어,20260614T072530Z,,used,80,16260,1,ml,50.0,16260,[중고] 라운드 랩 자작 나무 무기자차 선크림 SPF50+ PA++++ 50ml 1개,자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TP40F&link_prod_c=U95233113091&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219364181&cate=1833257,False,50ml
라운드랩,선케어,20260614T072530Z,,,80,19825,4,ml,50.0,79300,라운드 랩 자작 나무 무기자차 선크림 50ml 4개,자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9347416159&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219367437&cate=1833257,True,50ml
라운드랩,선케어,20260614T072530Z,,,80,19833,6,ml,50.0,119000,라운드 랩 자작 나무 무기자차 선크림 50ml 6개,자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9347416019&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219361911&cate=1833257,True,50ml
라운드랩,선케어,20260614T072530Z,,,80,24010,3,ml,50.0,72030,[셀러허브] 라운드 랩 자작 나무 수분 톤업 선크림 50ml(SPF50+) x3SET (AD) (S33562097),자작나무 수분 선크림,라운드랩 자작나무 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229765&cmpny_c=TH201&link_prod_c=9348055764&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219368085&cate=18320005,True,50ml
조선미녀,선케어,20260614T072530Z,,,80,8400,1,ml,50.0,8400,조선 미녀 맑은 쌀 선크림 50ml,맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/info/?pcode=27548912&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
조선미녀,선케어,20260614T072530Z,,,80,13900,1,ml,50.0,13900,조선 미녀 맑은 쌀 선크림 아쿠아프레쉬 50ml,맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/info/?pcode=96705854&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
조선미녀,선케어,20260614T072530Z,,mask_or_pack_variant,80,14745,2,ml,50.0,29490,크리클팩토리 조선 미녀 조선 미녀 맑은 쌀 선크림 + 스트레스볼 4종 춘식이 아쿠아프레쉬 50mL 2입 기획,맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE128&link_prod_c=4779728529&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219387447&cate=1833257,False,50ml
조선미녀,선케어,20260614T072530Z,,,80,14615,2,ml,50.0,29230,조선 미녀 맑은 쌀 선크림 50mL 기획 + &&& 춘식이 맑은 쌀 선크림 2입 + 스트레스볼,맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9426935613&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219386500&cate=1833257,True,50ml
조선미녀,선케어,20260614T072530Z,,,80,15599,12,ml,50.0,187190,조선 미녀 맑은 쌀 선크림 아쿠아 프레쉬 50ml 12개,맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9341049556&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219386452&cate=1833257,True,50ml
조선미녀,선케어,20260614T072530Z,,,80,16425,2,ml,50.0,32850,조선 미녀 맑은 쌀 선크림 아쿠아프레쉬 SPF50+ PA++++ 50ml 2입 기획 (+춘식이스트레스볼),맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9273684764&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219388701&cate=1833257,True,50ml
조선미녀,선케어,20260614T072530Z,,,80,14183,3,ml,50.0,42550,조선 미녀 맑은 쌀 선크림 50ml 3개,맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=8509234180&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219385386&cate=1833257,True,50ml
조선미녀,선케어,20260614T072530Z,,,80,23110,1,ml,50.0,23110,조선 미녀 맑은 쌀 선크림 아쿠아프레쉬 50ml,맑은쌀 선크림,조선미녀 맑은쌀 선크림,danawa,200,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=TH201&link_prod_c=9302509266&keyword=%EC%A1%B0%EC%84%A0%EB%AF%B8%EB%85%80+%EB%A7%91%EC%9D%80%EC%8C%80+%EC%84%A0%ED%81%AC%EB%A6%BC&r=17814219388826&cate=1833257,True,50ml
닥터지,선케어,20260614T072530Z,,,90,10720,1,ml,50.0,10720,닥터지 그린 마일드 업 선 플러스 50ml,그린 마일드 업 선 플러스,닥터지 그린 마일드 업 선 플러스,danawa,200,https://prod.danawa.com/info/?pcode=11187765&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,True,50ml
닥터지,선케어,20260614T072530Z,,,90,7800,3,ml,50.0,23400,닥터지 그린 마일드 업 선 플러스 50ml 2개+10ml 3개,그린 마일드 업 선 플러스,닥터지 그린 마일드 업 선 플러스,danawa,200,https://prod.danawa.com/info/?pcode=116413744&keyword=%EB%8B%A5%ED%84%B0%EC%A7%80+%EA%B7%B8%EB%A6%B0+%EB%A7%88%EC%9D%BC%EB%93%9C+%EC%97%85+%EC%84%A0+%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=1833257,True,50ml
